countryA,countryB,bilateralTradeNormValue,bilateralTradeRawValue,foreignCapitalInvestmentNormValue,foreignCapitalInvestmentRawValue,onlineSearchInterestRawValue,migrantDestinationsRawValue,migrantDestinationsNormValue,travelDestinationsRawValue,travelDestinationsNormValue,foreignMediaFlowsRawValue,armsTradeNormValue,armsTradeRawValue,jointTrainingNormValue,jointTrainingRawValue,defenceDialoguesNormValue,defenceDialoguesRawValue,diplomaticDialoguesNormValue,diplomaticDialoguesRawValue
AT,JP,,,0.0019090342,195599999.99999997,,,,,,,,,,,,,,
AT,MA,,,0.0165106491,2188990000.0,,,,,,,,,,,,,,
AT,MY,,,0.0009643438,55200000.0,,,,,,,,,,,,,,
AT,NZ,,,0.0092403556,215900000.0,,,,,,,,,,,,,,
AT,PH,,,0.0016838287,135200000.0,,,,,,,,,,,,,,
AT,PK,,,0.0019949229,110900000.0,,,,,,,,,,,,,,
AT,RU,,,0.0201207524,3139183000.0,,,,,,,,,,,,,,
AT,SG,,,0.0105602438,1241899999.9999998,,,,,,,,,,,,,,
AT,SK,,,0.0049168936,357610000.0,,,,,,,,,,,,,,
AT,SL,,,0.0008311146,12300000.0,,,,,,,,,,,,,,
AT,TH,,,0.0025501896,152900000.0,,,,,,,,,,,,,,
AT,TW,,,0.0012318704,43300000.0,,,,,,,,,,,,,,
AT,US,,,0.0085039622,6646130000.0,,,,,,,,,,,,,,
AT,VN,,,0.001933454,421780000.0,,,,,,,,,,,,,,
AU,AE,0.0073281007,3419717584.0,,,,,,,,,,,,,,,,
AU,AG,1.0727e-06,500589.0000000001,,,,,,,,,,,,,,,,
AU,AI,2.784e-07,129919.0,,,,,,,,,,,,,,,,
AU,AM,3.8493e-06,1796302.0,,,,,,,,,,,,,,,,
AU,AN,1.7379e-06,811006.0000000001,,,,,,,,,,,,,,,,
AU,AO,9.7913e-06,4569172.0,,,,,,,,,,,,,,,,
AU,AR,0.0013606966,634980081.0,,,,,,,,,,,,,,,,
AU,AS,3.45077e-05,16103313.999999998,,,,,,,,,,,,,,,,
AU,AZ,0.0002883841,134576758.0,,,,,,,,,,,,,,,,
AU,BA,0.0028930522,1350066245.9999998,0.0064602109,182800000.0,0.0105649566,,,455.252,0.0002368243,0.000253671,,,0.0225409836,11.0,,,,
AU,BB,8.8746e-06,4141403.0000000005,,,,,,,,,,,,,,,,
AU,BF,1.40699e-05,6565825.999999999,,,,,,,,,,,,,,,,
AU,BH,0.0015208047,709695849.0,,,,,,,,,,,,,,,,
AU,BI,1.3314e-06,621286.0,,,,,,,,,,,,,,,,
AU,BIH,3.24001e-05,15119765.999999998,,,,,,,,,,,,,,,,
AU,BJ,1.0147e-06,473499.0,,,,,,,,,,,,,,,,
AU,BM,3.4901e-06,1628683.0,,,,,,,,,,,,,,,,
AU,BO,2.69326e-05,12568334.0,,,,,,,,,,,,,,,,
AU,BR,,,0.0013000289,19000000.0,,559.0,0.0009320162,2597.0,0.0013509721,,,,0.0368852459,18.0,0.1025641026,4.0,,
AU,BRA,0.0025409105,1185736482.0,,,,,,,,,,,,,,,,
AU,BS,8.5677e-06,3998187.0,,,,,,,,,,,,,,,,
AU,BT,2.9027e-06,1354557.0,,,,,,,,,,,,,,,,
AU,BW,3.61799e-05,16883637.0,,,,,,,,,,,,,,,,
AU,BY,7.15066e-05,33369125.000000004,,,,,,,,,,,,,,,,
AU,BZ,1.04123e-05,4858968.0,,,,,,,,,,,,,,,,
AU,CA,0.0068916326,3216036210.0,,,,,,,,,,,,,,,,
AU,CB,0.0006668685,311199579.99999994,0.0060951477,132408100.00000001,0.0046557436,123.0,0.0002050769,23687.0,0.0123220932,,,,0.0163934426,8.0,,,0.0277777778,1.0
AU,CD,3.5958e-06,1677991.0,,,,,,,,,,,,,,,,
AU,CF,3.362e-07,156878.0,,,,,,,,,,,,,,,,
AU,CG,0.0001027101,47930491.0,,,,,,,,,,,,,,,,
AU,CH,0.0092661152,4324107802.0,,,,,,,,,,,,,,,,
AU,CI,0.0004015186,187371912.0,,,,,,,,,,,,,,,,
AU,CL,0.0014427178,673255958.0,,,,,,,,,,,,,,,,
AU,CM,3.2971e-06,1538601.0,,,,,,,,,,,,,,,,
AU,CN,0.3604661096,168214432589.99997,0.0151445359,10224769999.999996,0.0962485451,13538.0,0.0225717978,176393.0550929968,0.0917605295,0.0133025642,0.0001648533,2000000.0,0.0225409836,11.0,,,,
AU,CO,0.0002179484,101707375.0,,,,,,,,,,,,,,,,
AU,CR,0.0002347917,109567461.00000001,,,,,,,,,,,,,,,,
AU,CU,1.44726e-05,6753737.0,,,,,,,,,,,,,,,,
AU,CV,7.12e-08,33204.0,,,,,,,,,,,,,,,,
AU,DJ,3.3766e-06,1575723.0,,,,,,,,,,,,,,,,
AU,DM,3.348e-07,156260.0,,,,,,,,,,,,,,,,
AU,DO,0.0001116893,52120737.0,,,,,,,,,,,,,,,,
AU,EC,4.43951e-05,20717332.0,,,,,,,,,,,,,,,,
AU,EG,0.0009137391,426403737.0,,,,,,,,,,,,,,,,
AU,ER,4.0984e-06,1912537.0,,,,,,,,,,,,,,,,
AU,ET,4.73919e-05,22115808.0,,,,,,,,,,,,,,,,
AU,EU,0.0901107526,42050913281.0,,,,,,,,,,,,,,,,
AU,FJ,0.0008110206,378469339.0,,,,,,,,,,,,,,,,
AU,FK,1.183e-07,55214.0,,,,,,,,,,,,,,,,
AU,FM,1.04265e-05,4865634.0,,,,,,,,,,,,,,,,
AU,GA,0.0004686046,218678148.00000003,,,,,,,,,,,,,,,,
AU,GD,7.201e-07,336054.0,,,,,,,,,,,,,,,,
AU,GE,2.16961e-05,10124640.0,,,,,,,,,,,,,,,,
AU,GH,0.0005848643,272931680.0,,,,,,,,,,,,,,,,
AU,GI,1.145e-06,534325.0,,,,,,,,,,,,,,,,
AU,GM,3.001e-07,140021.0,,,,,,,,,,,,,,,,
AU,GN,1.18199e-05,5515867.0,,,,,,,,,,,,,,,,
AU,GQ,1.2618e-06,588814.0,,,,,,,,,,,,,,,,
AU,GT,4.39337e-05,20502029.0,,,,,,,,,,,,,,,,
AU,GU,1.77207e-05,8269515.0,,,,,,,,,,,,,,,,
AU,GW,4.11e-08,19164.0,,,,,,,,,,,,,,,,
AU,GY,8.6917e-06,4056039.9999999995,,,,,,,,,,,,,,,,
AU,HN,0.000115357,53832288.99999999,,,,,,,,,,,,,,,,
AU,HT,4.9534e-06,2311561.0,,,,,,,,,,,,,,,,
AU,ID,0.0151178531,7054868732.999999,0.0173861512,3373070000.0,0.019070642,11400.0,0.0190071277,256291.0,0.1333238309,0.005322675,0.0108803165,132000000.0,0.0553278689,27.0,0.0512820513,2.0,0.0555555556,2.0
AU,IL,0.0015599027,727941254.0000001,,,,,,,,,,,,,,,,
AU,IN,0.0245258144,11445170121.0,0.0079550387,2879260000.0,0.1417315785,3833.0,0.0063907299,86758.0,0.0451319357,0.14205932,,,0.0491803279,24.0,0.1025641026,4.0,0.0277777778,1.0
AU,IQ,3.88337e-05,18122038.0,,,,,,,,,,,,,,,,
AU,IR,6.19199e-05,28895431.000000004,,,,,,,,,,,,,,,,
AU,IS,0.0001047858,48899156.0,,,,,,,,,,,,,,,,
AU,JM,3.96082e-05,18483493.000000004,,,,,,,,,,,,,,,,
AU,JO,0.0002414554,112677099.0,,,,,,,,,,,,,,,,
AU,JP,0.0940308441,43880255763.0,0.0271801186,2784880000.0,0.1043065628,11572.0,0.0192939019,143508.0,0.0746535631,0.010934827,0.0001648533,2000000.0,0.1209016393,59.0,0.1282051282,5.0,0.1666666667,6.0
AU,KE,0.0001662794,77595624.0,,,,,,,,,,,,,,,,
AU,KG,2.20418e-05,10285991.000000002,,,,,,,,,,,,,,,,
AU,KI,3.74593e-05,17480666.000000004,,,,,,,,,,,,,,,,
AU,KM,1.171e-07,54646.0,,,,,,,,,,,,,,,,
AU,KN,2.0957e-06,977968.0,,,,,,,,,,,,,,,,
AU,KW,0.0005874146,274121789.00000006,,,,,,,,,,,,,,,,
AU,KZ,6.1809e-05,28843654.0,,,,,,,,,,,,,,,,
AU,LA,0.0002553559,119163880.0,0.0077072246,94300000.0,,218.0,0.0003634696,7271.0,0.0037824097,,,,0.0081967213,4.0,,,,
AU,LB,6.88157e-05,32113425.0,,,,,,,,,,,,,,,,
AU,LC,2.5457e-06,1187963.0,,,,,,,,,,,,,,,,
AU,LR,1.4142e-06,659926.9999999999,,,,,,,,,,,,,,,,
AU,LS,1.7577e-06,820228.0,,,,,,,,,,,,,,,,
AU,LY,7.20689e-05,33631549.0,,,,,,,,,,,,,,,,
AU,MA,0.0254211286,11862975751.0,0.0291558729,3865500000.0000005,0.0197869102,6157.0,0.0102655162,72680.0,0.0378084913,0.0184939032,,,0.0614754098,30.0,0.0256410256,1.0,0.0555555556,2.0
AU,MAR,0.0001211045,56514410.00000001,,,,,,,,,,,,,,,,
AU,MD,6.5374e-06,3050737.0,,,,,,,,,,,,,,,,
AU,ME,1.3933e-06,650193.0,,,,,,,,,,,,,,,,
AU,MG,5.27905e-05,24635102.0,,,,,,,,,,,,,,,,
AU,MH,8.9543e-06,4178584.0,,,,,,,,,,,,,,,,
AU,MK,2.16397e-05,10098332.999999998,,,,,,,,,,,,,,,,
AU,ML,0.0006509551,303773465.0,,,,,,,,,,,,,,,,
AU,MO,5.45756e-05,25468135.0,0.0509391435,576300000.0000001,0.0041185424,248.0,0.0004134884,383.0,0.0001992385,,,,0.006147541,3.0,,,,
AU,MR,0.0001528305,71319582.00000001,,,,,,,,,,,,,,,,
AU,MS,5.863e-07,273583.0,,,,,,,,,,,,,,,,
AU,MU,0.000133961,62513986.0,,,,,,,,,,,,,,,,
AU,MV,4.45824e-05,20804751.0,,,,,,,,,,,,,,,,
AU,MW,4.151e-07,193723.0,,,,,,,,,,,,,,,,
AU,MX,0.0048890567,2281517971.0,,,,,,,,,,,,,,,,
AU,MY,0.0003356448,156631374.0,0.0021557977,123399999.99999999,0.0083266183,,,5952.0,0.0030962595,,,,0.0102459016,5.0,,,,
AU,MZ,0.0006509663,303778705.0,,,,,,,,,,,,,,,,
AU,NA,2.76283e-05,12892965.0,,,,,,,,,,,,,,,,
AU,NC,0.0006194247,289059546.0,,,,,,,,,,,,,,,,
AU,NE,2.9248e-06,1364895.0000000002,,,,,,,,,,,,,,,,
AU,NG,0.0005689947,265525984.0,,,,,,,,,,,,,,,,
AU,NI,2.75693e-05,12865443.0,,,,,,,,,,,,,,,,
AU,NK,,,,,0.0048348106,204.0,0.0003401275,,,0.0001107357,,,,,,,,
AU,NO,0.000770071,359359853.00000006,,,,,,,,,,,,,,,,
AU,NP,0.0001138164,53113364.00000001,0.0141105425,42900000.00000001,0.0188915749,,,6793.0,0.0035337518,,,,0.006147541,3.0,,,,
AU,NR,8.7594e-05,40876468.0,,,,,,,,,,,,,,,,
AU,NZ,0.0260903333,12175265559.0,0.1691595268,3952395690.0000005,0.1306294207,85289.0,0.142201659,359781.0,0.1871598348,0.0176780876,0.0013188262,16000000.0,0.0799180328,39.0,,,0.0833333333,3.0
AU,OM,0.0006682603,311849100.0,,,,,,,,,,,,,,,,
AU,PA,8.59524e-05,40110370.99999999,,,,,,,,,,,,,,,,
AU,PE,0.0004830512,225419753.0,,,,,,,,,,,,,,,,
AU,PF,8.15142e-05,38039258.0,,,,,,,,,,,,,,,,
AU,PG,0.0083300166,3887269803.9999995,0.1615130952,1050099999.9999999,0.0052824783,9219.0,0.015370764,14871.0,0.0077359669,0.0037655187,0.0019782394,24000000.0,0.0327868852,16.0,,,0.0833333333,3.0
AU,PH,0.0041183181,1921846523.0000002,0.01518273,1219070000.0000005,0.0345599427,4249.0,0.0070843233,55330.0,0.0287829365,0.0133579946,0.0013188262,16000000.0,0.0348360656,17.0,0.1025641026,4.0,0.0555555556,2.0
AU,PK,0.0012354354,576525957.0,0.0031048124,172600000.0,0.0196078431,,,14074.1926766341,0.0073214638,0.0195525879,,,0.0102459016,5.0,,,,
AU,PW,3.2822e-06,1531684.0,,,,,,,,,,,,,,,,
AU,PY,5.9306e-06,2767567.0,,,,,,,,,,,,,,,,
AU,QA,0.0015798122,737232152.9999999,,,,,,,,,,,,,,,,
AU,RS,7.89326e-05,36834515.0,,,,,,,,,,,,,,,,
AU,RU,0.0013196791,615838951.0,0.0026481699,413160000.0,0.0297251321,541.0,0.0009020049,2363.0,0.0012292442,0.0900774611,,,0.0081967213,4.0,,,,
AU,RW,1.8191e-06,848881.0,,,,,,,,,,,,,,,,
AU,SA,0.0028103984,1311495211.0,,,,,,,,,,,,,,,,
AU,SB,0.000134346,62693664.00000001,,,,,,,,,,,,,,,,
AU,SC,9.6298e-06,4493833.0,,,,,,,,,,,,,,,,
AU,SD,1.07963e-05,5038192.0,,,,,,,,,,,,,,,,
AU,SG,0.0301667357,14077551790.000002,0.0516513185,6074270000.0,0.0307100009,10148.0,0.0169196782,206239.0,0.1072865359,0.0405310662,0.0004945598,6000000.0,0.0819672131,40.0,0.0512820513,2.0,0.1111111111,4.0
AU,SK,0.047903087,22354363916.0,0.0056413451,410300000.0,0.0119974931,5604.0,0.0093435038,23172.0,0.0120541877,0.0070744078,,,0.0471311475,23.0,0.0512820513,2.0,0.0833333333,3.0
AU,SL,0.0006885421,321313741.0,0.0204805568,303100000.00000006,0.0220252485,474.0,0.0007902964,20283.0,0.0105513157,0.0055235572,0.0004121332,5000000.0,0.018442623,9.0,,,0.0277777778,1.0
AU,SLE,7.4213e-06,3463199.0,,,,,,,,,,,,,,,,
AU,SN,0.0004927055,229925012.99999997,,,,,,,,,,,,,,,,
AU,SO,1.4244e-06,664728.0,,,,,,,,,,,,,,,,
AU,SR,1.77793e-05,8296849.0,,,,,,,,,,,,,,,,
AU,SS,9.112e-07,425215.0,,,,,,,,,,,,,,,,
AU,ST,4.02e-08,18762.0,,,,,,,,,,,,,,,,
AU,SV,2.06233e-05,9624027.0,,,,,,,,,,,,,,,,
AU,SY,4.294e-06,2003807.0,,,,,,,,,,,,,,,,
AU,SZ,1.1296e-06,527117.0,,,,,,,,,,,,,,,,
AU,TD,1.2893e-06,601666.0,,,,,,,,,,,,,,,,
AU,TG,2.46578e-05,11506760.0,,,,,,,,,,,,,,,,
AU,TH,0.0282896655,13201601749.0,0.0051053829,306100000.0,0.0411854239,1470.0,0.0024509191,123598.0,0.0642962837,0.0060702477,,,0.0553278689,27.0,,,,
AU,TJ,3.32e-08,15485.0,,,,,,,,,,,,,,,,
AU,TL,9.5508e-05,44569571.99999999,,,,,,,,,,,,,,,,
AU,TM,7.35e-08,34286.0,,,,,,,,,,,,,,,,
AU,TN,6.81837e-05,31818487.0,,,,,,,,,,,,,,,,
AU,TO,3.42546e-05,15985198.0,,,,,,,,,,,,,,,,
AU,TR,0.0023772881,1109380746.0,,,,,,,,,,,,,,,,
AU,TT,4.28397e-05,19991488.999999996,,,,,,,,,,,,,,,,
AU,TV,4.7388e-06,2211411.0,,,,,,,,,,,,,,,,
AU,TW,,,0.0014054133,49400000.00000001,,1010.0,0.0016839648,18906.0,0.0098349936,0.001092683,,,,,,,,
AU,TZ,7.30009e-05,34066473.0,,,,,,,,,,,,,,,,
AU,UA,0.0001912337,89240776.0,,,,,,,,,,,,,,,,
AU,UG,1.05486e-05,4922576.0,,,,,,,,,,,,,,,,
AU,UK,0.0330419633,15419300084.0,,,,,,,,,,,,,,,,
AU,US,0.0825703966,38532145016.0,0.0272794938,21319833999.999996,0.2100456621,103446.0,0.172474678,208707.0,0.1085704016,0.5639951923,0.6121002308,7426000000.0,0.1967213115,96.0,0.2820512821,11.0,0.1388888889,5.0
AU,UY,3.33805e-05,15577287.0,,,,,,,,,,,,,,,,
AU,UZ,1.30963e-05,6111508.0,,,,,,,,,,,,,,,,
AU,VC,2.3149e-06,1080280.0,,,,,,,,,,,,,,,,
AU,VE,6.2998e-06,2939867.9999999995,,,,,,,,,,,,,,,,
AU,VN,,,0.0054325392,1185100000.0,0.0316948697,37.0,6.16898e-05,92227.0,0.0479769362,0.0408035,,,0.018442623,9.0,0.1025641026,4.0,0.0833333333,3.0
AU,VU,0.0001070104,49937260.0,,,,,,,,,,,,,,,,
AU,WS,4.95107e-05,23104588.999999996,,,,,,,,,,,,,,,,
AU,YE,0.0002848659,132934978.0,,,,,,,,,,,,,,,,
AU,ZA,0.0033453041,1561113304.0,,,,,,,,,,,,,,,,
AU,ZM,3.14217e-05,14663174.999999998,,,,,,,,,,,,,,,,
AU,ZW,6.0294e-06,2813665.0,,,,,,,,,,,,,,,,
AZ,IN,,,0.0001425644,51600000.0,,,,,,,,,,,,,,
AZ,RU,,,0.0007848495,122450000.0,,,,,,,,,,,,,,
AZ,US,,,2.55907e-05,20000000.0,,,,,,,,,,,,,,
BA,AE,0.0149656254,1146433305.0,,,,,,,,,,,,,,,,
BA,AF,0.0002890225,22140406.0,,,,,,,,,,,,,,,,
BA,AL,8.0044e-06,613174.0,,,,,,,,,,,,,,,,
BA,AM,1.2191e-06,93392.0,,,,,,,,,,,,,,,,
BA,AO,4.1332e-06,316625.0,,,,,,,,,,,,,,,,
BA,AR,0.0076573203,586584709.0,,,,,,,,,,,,,,,,
BA,AS,1.04672e-05,801836.0,,,,,,,,,,,,,,,,
BA,AU,0.016186812,1239981616.0,,,0.0340479193,52907.0,0.0071478144,4534.0,0.0066346481,0.0874558304,,,0.0434782609,11.0,,,,
BA,AZ,5.1072e-06,391231.0,,,,,,,,,,,,,,,,
BA,BB,3.076e-07,23564.0,,,,,,,,,,,,,,,,
BA,BF,0.0018679138,143090485.0,,,,,,,,,,,,,,,,
BA,BH,0.0003805433,29151308.0,,,,,,,,,,,,,,,,
BA,BI,4.2096e-06,322476.0,,,,,,,,,,,,,,,,
BA,BIH,1.25842e-05,964005.0,,,,,,,,,,,,,,,,
BA,BJ,0.0039311891,301146527.0,,,,,,,,,,,,,,,,
BA,BO,8.0352e-06,615529.0,,,,,,,,,,,,,,,,
BA,BR,,,,,,1343.0,0.0001814413,638.0,0.0009335919,,,,0.0632411067,16.0,,,,
BA,BRA,0.0216475928,1658301646.0,,,,,,,,,,,,,,,,
BA,BS,9.8505e-06,754595.0,,,,,,,,,,,,,,,,
BA,BT,0.0004709159,36074246.0,,,,,,,,,,,,,,,,
BA,BY,0.0016322317,125036191.0,,,,,,,,,,,,,,,,
BA,CA,0.02219469,1700211720.0,,,,,,,,,,,,,,,,
BA,CB,0.0002344221,17957774.999999996,,,,,,1621.0,0.0023720257,,,,0.0395256917,10.0,,,,
BA,CF,1.35351e-05,1036845.9999999999,,,,,,,,,,,,,,,,
BA,CG,1.40416e-05,1075652.0,,,,,,,,,,,,,,,,
BA,CH,0.0046084871,353030554.0,,,,,,,,,,,,,,,,
BA,CI,0.0012625572,96717483.0,,,,,,,,,,,,,,,,
BA,CL,0.0015053916,115319676.99999999,,,,,,,,,,,,,,,,
BA,CM,0.0015570875,119279808.0,,,,,,,,,,,,,,,,
BA,CN,0.1527988451,11705069437.0,0.0002251366,152000000.0,0.0692422332,3577.0,0.000483258,21330.5811038533,0.0312132554,0.0167844523,0.7162692424,2373000000.0,0.0355731225,9.0,,,0.0909090909,1.0
BA,CO,0.0003271121,25058239.999999996,,,,,,,,,,,,,,,,
BA,CR,2.09363e-05,1603817.0,,,,,,,,,,,,,,,,
BA,CU,5.1165e-06,391947.0,,,,,,,,,,,,,,,,
BA,DJ,7.8908e-06,604471.0,,,,,,,,,,,,,,,,
BA,DO,2.54649e-05,1950723.0,,,,,,,,,,,,,,,,
BA,DZ,0.0015469777,118505358.0,,,,,,,,,,,,,,,,
BA,EC,8.9344e-06,684418.0,,,,,,,,,,,,,,,,
BA,EG,0.0013659875,104640701.0,,,,,,,,,,,,,,,,
BA,ER,7.697e-07,58962.0,,,,,,,,,,,,,,,,
BA,ET,0.0002066113,15827339.0,,,,,,,,,,,,,,,,
BA,EU,0.1946719673,14912736371.0,,,,,,,,,,,,,,,,
BA,FJ,2.19703e-05,1683018.9999999998,,,,,,,,,,,,,,,,
BA,GA,0.0001482722,11358309.0,,,,,,,,,,,,,,,,
BA,GD,3.079e-07,23584.0,,,,,,,,,,,,,,,,
BA,GE,1.70482e-05,1305970.0,,,,,,,,,,,,,,,,
BA,GH,6.85764e-05,5253257.0,,,,,,,,,,,,,,,,
BA,GM,2.57467e-05,1972308.0,,,,,,,,,,,,,,,,
BA,GN,0.0002118523,16228825.0,,,,,,,,,,,,,,,,
BA,GQ,1.97313e-05,1511502.0,,,,,,,,,,,,,,,,
BA,GT,0.0002484857,19035107.999999996,,,,,,,,,,,,,,,,
BA,GW,2.0986e-05,1607621.0,,,,,,,,,,,,,,,,
BA,GY,3.8947e-06,298352.0,,,,,,,,,,,,,,,,
BA,HN,2.36041e-05,1808182.0,,,,,,,,,,,,,,,,
BA,ID,0.0229216218,1755897925.0,,,0.0106614697,,,12866.0,0.0188269481,,,,0.0750988142,19.0,,,0.0909090909,1.0
BA,IN,0.0931113718,7132744179.0,0.0032714111,1184059999.9999998,0.496618136,2488471.0,0.3361961339,549273.0,0.8037567437,0.199057715,,,0.0750988142,19.0,0.7142857143,5.0,0.3636363636,4.0
BA,IQ,0.0004181547,32032508.0,,,,,,,,,,,,,,,,
BA,IR,0.0002132148,16333196.999999998,,,,,,,,,,,,,,,,
BA,IS,6.24895e-05,4786975.0,,,,,,,,,,,,,,,,
BA,JM,8.8594e-06,678666.0,,,,,,,,,,,,,,,,
BA,JO,0.0007132337,54636862.0,,,,,,,,,,,,,,,,
BA,JP,0.0327095376,2505695700.9999995,6.53913e-05,6700000.0,0.0796744239,15702.0,0.0021213636,4444.0,0.0065029502,0.0241460542,,,0.0395256917,10.0,,,,
BA,KE,0.0001988442,15232350.0,,,,,,,,,,,,,,,,
BA,KI,1.8467e-06,141464.0,,,,,,,,,,,,,,,,
BA,KM,7.1484e-06,547601.0,,,,,,,,,,,,,,,,
BA,KW,0.0010633458,81457004.0,,,,,,,,,,,,,,,,
BA,KZ,0.0003538114,27103520.0,,,,,,,,,,,,,,,,
BA,LA,3.3969e-06,260215.0,,,,,,,,,,,0.0158102767,4.0,,,,
BA,LB,3.77317e-05,2890417.0000000005,,,,,,,,,,,,,,,,
BA,LR,0.0002760962,21150193.0,,,,,,,,,,,,,,,,
BA,LS,3.2324e-06,247614.0,,,,,,,,,,,,,,,,
BA,LY,9.8551e-06,754944.0000000001,,,,,,,,,,,,,,,,
BA,MA,0.0188189111,1441612083.9999998,0.0004336988,57500000.0,0.0160495242,415717.0,0.0561639851,17634.0,0.0258040108,0.0382803298,,,0.0750988142,19.0,,,,
BA,MAR,0.0011274956,86371163.0,,,,,,,,,,,,,,,,
BA,MD,5.00152e-05,3831385.0,,,,,,,,,,,,,,,,
BA,MG,1.70519e-05,1306247.9999999998,,,,,,,,,,,,,,,,
BA,MH,3.52355e-05,2699198.0,,,,,,,,,,,,,,,,
BA,ML,0.002056416,157530588.0,,,,,,,,,,,,,,,,
BA,MO,1.4146e-06,108368.0,,,,,,7.0,1.02432e-05,,,,0.0118577075,3.0,,,,
BA,MR,5.3949e-06,413274.0,,,,,,,,,,,,,,,,
BA,MU,0.0001821187,13951097.999999998,,,,,,,,,,,,,,,,
BA,MV,7.08575e-05,5427998.000000001,,,,,,,,,,,,,,,,
BA,MW,2.07677e-05,1590896.0,,,,,,,,,,,,,,,,
BA,MX,0.0019608975,150213445.0,,,,,,,,,,,,,,,,
BA,MY,0.0015273958,117005292.0,0.0005345819,30600000.0,0.0063051702,1066.0,0.0001440182,1079.0,0.0015789116,,,,0.023715415,6.0,,,,
BA,MZ,7.99889e-05,6127502.000000001,,,,,,,,,,,,,,,,
BA,NA,1.78355e-05,1366277.0,,,,,,,,,,,,,,,,
BA,NE,7.192e-06,550936.0,,,,,,,,,,,,,,,,
BA,NG,0.0027276701,208951633.0,,,,,,,,,,,,,,,,
BA,NI,9.3476e-06,716069.0000000001,,,,,,,,,,,,,,,,
BA,NK,1.96874e-05,1508140.0,,,0.0003439184,153.0,2.06705e-05,,,,,,,,,,,
BA,NO,0.0010723083,82143571.00000001,,,,,,,,,,,,,,,,
BA,NP,0.0005182328,39698928.0,0.0015459102,4700000.0,0.008254041,222.0,2.99925e-05,4917.0,0.0071950959,,,,0.0197628458,5.0,,,0.1818181818,2.0
BA,NZ,0.0037601297,288042619.0,,,0.0494096068,2652.0,0.0003582891,212.0,0.0003102217,0.0014723204,,,0.023715415,6.0,,,,
BA,OM,0.0016820369,128851486.0,,,,,,,,,,,,,,,,
BA,PA,0.0001052261,8060788.000000001,,,,,,,,,,,,,,,,
BA,PE,0.0010563135,80918298.0,,,,,,,,,,,,,,,,
BA,PF,4.5411e-06,347871.0,,,,,,,,,,,,,,,,
BA,PG,9.52203e-05,7294294.000000001,,,0.0052734151,,,,,,,,0.0158102767,4.0,,,,
