COUNTRY,POST COUNTRY,Year,POST COUNT
AR,LB,2016,1
AR,LB,2017,1
AR,LB,2019,1
AR,LB,2021,1
AR,LB,2023,1
AR,LY,2016,1
AR,LY,2017,1
AR,LY,2019,1
AR,MA,2016,1
AR,MA,2017,1
AR,MA,2019,1
AR,MA,2021,1
AR,MA,2023,1
AR,MX,2016,2
AR,MX,2017,2
AR,MX,2019,2
AR,MX,2021,2
AR,MX,2023,2
AR,MAR,2016,1
AR,MAR,2017,1
AR,MAR,2019,1
AR,MAR,2021,1
AR,MAR,2023,1
AR,MZ,2017,1
AR,MZ,2019,1
AR,MZ,2021,1
AR,MZ,2023,1
AR,NL,2016,1
AR,NL,2017,1
AR,NL,2019,1
AR,NL,2021,1
AR,NL,2023,1
AR,NZ,2016,1
AR,NZ,2017,1
AR,NZ,2019,1
AR,NZ,2021,1
AR,NZ,2023,1
AR,NI,2016,1
AR,NI,2017,1
AR,NI,2019,1
AR,NI,2021,1
AR,NI,2023,1
AR,NG,2016,1
AR,NG,2017,1
AR,NG,2019,1
AR,NG,2021,1
AR,NG,2023,1
AR,NO,2016,1
AR,NO,2017,1
AR,NO,2019,1
AR,NO,2021,1
AR,NO,2023,1
AR,PK,2016,1
AR,PK,2017,1
AR,PK,2019,1
AR,PK,2021,1
AR,PK,2023,1
AR,PA,2016,1
AR,PA,2017,1
AR,PA,2019,1
AR,PA,2021,1
AR,PA,2023,1
AR,PY,2016,4
AR,PY,2017,4
AR,PY,2019,4
AR,PY,2021,5
AR,PY,2023,3
AR,PE,2016,2
AR,PE,2017,2
AR,PE,2019,2
AR,PE,2021,2
AR,PE,2023,1
AR,PH,2016,1
AR,PH,2017,1
AR,PH,2019,1
AR,PH,2021,1
AR,PH,2023,1
AR,PL,2016,1
AR,PL,2017,1
AR,PL,2019,1
AR,PL,2021,1
AR,PL,2023,1
AR,PT,2016,1
AR,PT,2017,1
AR,PT,2019,1
AR,PT,2021,1
AR,PT,2023,1
AR,QA,2016,1
AR,QA,2017,1
AR,QA,2019,1
AR,QA,2021,1
AR,QA,2023,1
AR,RO,2016,1
AR,RO,2017,1
AR,RO,2019,1
AR,RO,2021,1
AR,RO,2023,1
AR,RU,2016,1
AR,RU,2017,1
AR,RU,2019,1
AR,RU,2021,1
AR,RU,2023,1
AR,LC,2016,1
AR,LC,2017,1
AR,LC,2019,1
AR,SA,2016,1
AR,SA,2017,1
AR,SA,2019,1
AR,SA,2021,1
AR,SA,2023,1
AR,SN,2023,1
AR,RS,2016,1
AR,RS,2017,1
AR,RS,2019,1
AR,RS,2021,1
AR,RS,2023,1
AR,SG,2019,1
AR,SG,2021,1
AR,SG,2023,1
AR,ZA,2016,2
AR,ZA,2017,2
AR,ZA,2019,2
AR,ZA,2021,2
AR,ZA,2023,2
AR,SK,2016,1
AR,SK,2017,1
AR,SK,2019,1
AR,SK,2021,1
AR,SK,2023,1
AR,ES,2016,7
AR,ES,2017,7
AR,ES,2019,7
AR,ES,2021,7
AR,ES,2023,6
AR,PS,2016,1
AR,PS,2017,1
AR,PS,2019,1
AR,PS,2021,1
AR,PS,2023,1
AR,SR,2016,1
AR,SR,2017,1
AR,SR,2019,1
AR,SR,2023,1
AR,SE,2016,1
AR,SE,2017,1
AR,SE,2019,1
AR,SE,2021,1
AR,SE,2023,1
AR,CH,2016,2
AR,CH,2017,2
AR,CH,2019,2
AR,CH,2021,2
AR,CH,2023,2
AR,SY,2021,1
AR,SY,2023,1
AR,TW,2017,1
AR,TW,2019,1
AR,TW,2021,1
AR,TW,2023,1
AR,TH,2016,1
AR,TH,2017,1
AR,TH,2019,1
AR,TH,2021,1
AR,TH,2023,1
AR,TT,2016,1
AR,TT,2017,1
AR,TT,2019,1
AR,TT,2021,1
AR,TT,2023,1
AR,TN,2016,1
AR,TN,2017,1
AR,TN,2019,1
AR,TN,2021,1
AR,TN,2023,1
AR,TR,2016,2
AR,TR,2017,2
AR,TR,2019,2
AR,TR,2021,2
AR,TR,2023,2
AR,UA,2016,1
AR,UA,2017,1
AR,UA,2019,1
AR,UA,2021,1
AR,UA,2023,1
AR,AE,2016,1
AR,AE,2017,1
AR,AE,2019,1
AR,AE,2021,1
AR,AE,2023,1
AR,UK,2016,2
AR,UK,2017,2
AR,UK,2019,2
AR,UK,2021,2
AR,UK,2023,1
AR,US,2016,9
AR,US,2017,9
AR,US,2019,9
AR,US,2021,9
AR,US,2023,9
AR,UY,2016,8
AR,UY,2017,8
AR,UY,2019,8
AR,UY,2021,8
AR,UY,2023,7
AR,VE,2016,1
AR,VE,2017,1
AR,VE,2019,1
AR,VE,2021,1
AR,VE,2023,1
AR,VN,2016,1
AR,VN,2017,1
AR,VN,2019,1
AR,VN,2021,1
AR,VN,2023,1
AU,AF,2016,1
AU,AF,2017,1
AU,AF,2019,1
AU,AR,2016,1
AU,AR,2017,1
AU,AR,2019,1
AU,AR,2021,1
AU,AR,2023,1
AU,AT,2016,1
AU,AT,2017,1
AU,AT,2019,1
AU,AT,2021,1
AU,AT,2023,1
AU,BA,2016,1
AU,BA,2017,1
AU,BA,2019,1
AU,BA,2021,1
AU,BA,2023,1
AU,BE,2016,1
AU,BE,2017,1
AU,BE,2019,1
AU,BE,2021,1
AU,BE,2023,1
AU,BRA,2016,2
AU,BRA,2017,2
AU,BRA,2019,2
AU,BRA,2021,2
AU,BRA,2023,2
AU,BR,2016,1
AU,BR,2017,1
AU,BR,2019,1
AU,BR,2021,1
AU,BR,2023,1
AU,CB,2016,1
AU,CB,2017,1
AU,CB,2019,1
AU,CB,2021,1
AU,CB,2023,1
AU,CA,2016,2
AU,CA,2017,2
AU,CA,2019,2
AU,CA,2021,2
AU,CA,2023,2
AU,CL,2016,1
AU,CL,2017,1
AU,CL,2019,1
AU,CL,2021,1
AU,CL,2023,1
AU,CN,2016,5
AU,CN,2017,5
AU,CN,2019,5
AU,CN,2021,6
AU,CN,2023,6
AU,CO,2016,1
AU,CO,2017,1
AU,CO,2019,1
AU,CO,2021,1
AU,CO,2023,1
AU,CK,2021,1
AU,CK,2023,1
AU,HR,2016,1
AU,HR,2017,1
AU,HR,2019,1
AU,HR,2021,1
AU,HR,2023,1
AU,CY,2016,1
AU,CY,2017,1
AU,CY,2019,1
AU,CY,2021,1
AU,CY,2023,1
AU,DK,2016,1
AU,DK,2017,1
AU,DK,2019,1
AU,DK,2021,1
AU,DK,2023,1
AU,EG,2016,1
AU,EG,2017,1
AU,EG,2019,1
AU,EG,2021,1
AU,EG,2023,1
AU,ET,2016,1
AU,ET,2017,1
AU,ET,2019,1
AU,ET,2021,1
AU,ET,2023,1
AU,FJ,2016,1
AU,FJ,2017,1
AU,FJ,2019,1
AU,FJ,2021,1
AU,FJ,2023,1
AU,FR,2016,2
AU,FR,2017,2
AU,FR,2019,2
AU,FR,2021,3
AU,FR,2023,2
AU,PF,2021,1
AU,PF,2023,1
AU,DE,2016,2
AU,DE,2017,2
AU,DE,2019,2
AU,DE,2021,2
AU,DE,2023,2
AU,GH,2016,1
AU,GH,2017,1
AU,GH,2019,1
AU,GH,2021,1
AU,GH,2023,1
AU,GR,2016,1
AU,GR,2017,1
AU,GR,2019,1
AU,GR,2021,1
AU,GR,2023,1
AU,VA,2016,1
AU,VA,2017,1
AU,VA,2019,1
AU,VA,2021,1
AU,VA,2023,1
AU,IN,2016,3
AU,IN,2017,3
AU,IN,2019,3
AU,IN,2021,4
AU,IN,2023,5
AU,ID,2016,3
AU,ID,2017,5
AU,ID,2019,5
AU,ID,2021,5
AU,ID,2023,5
AU,IR,2016,1
AU,IR,2017,1
AU,IR,2019,1
AU,IR,2021,1
AU,IR,2023,1
AU,IQ,2016,1
AU,IQ,2017,1
AU,IQ,2019,1
AU,IQ,2021,1
AU,IQ,2023,1
AU,IE,2016,1
AU,IE,2017,1
AU,IE,2019,1
AU,IE,2021,1
AU,IE,2023,1
AU,IL,2016,1
AU,IL,2017,1
AU,IL,2019,1
AU,IL,2021,1
AU,IL,2023,1
AU,IT,2016,2
AU,IT,2017,2
AU,IT,2019,2
AU,IT,2021,2
AU,IT,2023,2
AU,JP,2016,4
AU,JP,2017,4
AU,JP,2019,4
AU,JP,2021,4
AU,JP,2023,2
AU,JO,2016,1
AU,JO,2017,1
AU,JO,2019,1
AU,JO,2021,1
AU,JO,2023,1
AU,KE,2016,1
AU,KE,2017,1
AU,KE,2019,1
AU,KE,2021,1
AU,KE,2023,1
AU,KI,2016,1
AU,KI,2017,1
AU,KI,2019,1
AU,KI,2021,1
AU,KI,2023,1
AU,KW,2016,1
AU,KW,2017,1
AU,KW,2019,1
AU,KW,2021,1
AU,KW,2023,1
AU,LA,2016,1
AU,LA,2017,1
AU,LA,2019,1
AU,LA,2021,1
AU,LA,2023,1
AU,LB,2016,1
AU,LB,2017,1
AU,LB,2019,1
AU,LB,2021,1
AU,LB,2023,1
AU,MA,2016,1
AU,MA,2017,1
AU,MA,2019,1
AU,MA,2021,1
AU,MA,2023,1
AU,MV,2023,1
AU,MT,2016,1
AU,MT,2017,1
AU,MT,2019,1
AU,MT,2021,1
AU,MT,2023,1
AU,MH,2021,1
AU,MH,2023,1
AU,MU,2016,1
AU,MU,2017,1
AU,MU,2019,1
AU,MU,2021,1
AU,MU,2023,1
AU,MX,2016,1
AU,MX,2017,1
AU,MX,2019,1
AU,MX,2021,1
AU,MX,2023,1
AU,FM,2016,1
AU,FM,2017,1
AU,FM,2019,1
AU,FM,2021,1
AU,FM,2023,1
AU,MO,2016,1
AU,MO,2017,1
AU,MO,2019,1
AU,MO,2021,1
AU,MO,2023,1
AU,MAR,2019,1
AU,MAR,2021,1
AU,MAR,2023,1
AU,MY,2016,1
AU,MY,2017,1
AU,MY,2019,1
AU,MY,2021,1
AU,MY,2023,1
AU,NR,2016,1
AU,NR,2017,1
AU,NR,2019,1
AU,NR,2021,1
AU,NR,2023,1
AU,NP,2016,1
AU,NP,2017,1
AU,NP,2019,1
AU,NP,2021,1
AU,NP,2023,1
AU,NL,2016,1
AU,NL,2017,1
AU,NL,2019,1
AU,NL,2021,1
AU,NL,2023,1
AU,NC,2016,1
AU,NC,2017,1
AU,NC,2019,1
AU,NC,2021,1
AU,NC,2023,1
AU,NZ,2016,2
AU,NZ,2017,2
AU,NZ,2019,2
AU,NZ,2021,2
AU,NZ,2023,2
AU,NG,2016,1
AU,NG,2017,1
AU,NG,2019,1
AU,NG,2021,1
AU,NG,2023,1
AU,NU,2021,1
AU,NU,2023,1
AU,PK,2016,1
AU,PK,2017,1
AU,PK,2019,1
AU,PK,2021,1
AU,PK,2023,1
AU,PW,2021,1
AU,PW,2023,1
AU,PG,2016,1
AU,PG,2017,2
AU,PG,2019,2
AU,PG,2021,2
AU,PG,2023,2
AU,PE,2016,1
AU,PE,2017,1
AU,PE,2019,1
AU,PE,2021,1
AU,PE,2023,1
AU,PH,2016,1
AU,PH,2017,1
AU,PH,2019,1
AU,PH,2021,1
AU,PH,2023,1
AU,PL,2016,1
AU,PL,2017,1
AU,PL,2019,1
AU,PL,2021,1
AU,PL,2023,1
AU,PT,2016,1
AU,PT,2017,1
AU,PT,2019,1
AU,PT,2021,1
AU,PT,2023,1
AU,QA,2016,1
AU,QA,2017,1
AU,QA,2019,1
AU,QA,2021,1
AU,QA,2023,1
AU,RU,2016,1
AU,RU,2017,1
AU,RU,2019,1
AU,RU,2021,1
AU,RU,2023,1
AU,WS,2016,1
AU,WS,2017,1
AU,WS,2019,1
AU,WS,2021,1
AU,WS,2023,1
AU,SA,2016,1
AU,SA,2017,1
AU,SA,2019,1
AU,SA,2021,1
AU,SA,2023,1
AU,RS,2016,1
AU,RS,2017,1
AU,RS,2019,1
AU,RS,2021,1
AU,RS,2023,1
AU,SG,2016,1
AU,SG,2017,1
AU,SG,2019,1
AU,SG,2021,1
AU,SG,2023,1
AU,SB,2016,1
AU,SB,2017,1
AU,SB,2019,1
AU,SB,2021,1
AU,SB,2023,1
AU,ZA,2016,1
AU,ZA,2017,1
AU,ZA,2019,1
AU,ZA,2021,1
AU,ZA,2023,1
AU,SK,2016,1
AU,SK,2017,1
AU,SK,2019,1
AU,SK,2021,1
AU,SK,2023,1
AU,ES,2016,1
AU,ES,2017,1
AU,ES,2019,1
AU,ES,2021,1
AU,ES,2023,1
AU,SL,2016,1
AU,SL,2017,1
AU,SL,2019,1
AU,SL,2021,1
AU,SL,2023,1
AU,PS,2016,1
AU,PS,2017,1
AU,PS,2019,1
AU,PS,2021,1
AU,PS,2023,1
AU,SE,2016,1
AU,SE,2017,1
AU,SE,2019,1
AU,SE,2021,1
AU,SE,2023,1
AU,CH,2016,2
AU,CH,2017,2
AU,CH,2019,2
AU,CH,2021,2
AU,CH,2023,3
AU,TW,2016,1
AU,TW,2017,1
AU,TW,2019,1
AU,TW,2021,1
AU,TW,2023,1
AU,TH,2016,2
AU,TH,2017,2
AU,TH,2019,2
AU,TH,2021,2
AU,TH,2023,2
AU,TL,2016,1
AU,TL,2017,1
AU,TL,2019,1
AU,TL,2021,1
AU,TL,2023,1
AU,TO,2016,1
AU,TO,2017,1
AU,TO,2019,1
AU,TO,2021,1
AU,TO,2023,1
AU,TT,2016,1
AU,TT,2017,1
AU,TT,2019,1
AU,TT,2021,1
AU,TT,2023,1
AU,TR,2016,3
AU,TR,2017,3
AU,TR,2019,3
AU,TR,2021,3
AU,TR,2023,3
AU,TV,2019,1
AU,TV,2021,1
AU,TV,2023,1
AU,UA,2016,1
AU,UA,2017,1
AU,UA,2019,1
AU,UA,2021,1
AU,AE,2016,2
AU,AE,2017,2
AU,AE,2019,2
AU,AE,2021,2
AU,AE,2023,2
AU,UK,2016,1
AU,UK,2017,1
AU,UK,2019,1
AU,UK,2021,1
AU,UK,2023,1
AU,US,2016,8
AU,US,2017,8
AU,US,2019,8
AU,US,2021,8
AU,US,2023,8
AU,VU,2016,1
AU,VU,2017,1
AU,VU,2019,1
AU,VU,2021,1
AU,VU,2023,1
AU,VN,2016,2
AU,VN,2017,2
AU,VN,2019,2
AU,VN,2021,2
AU,VN,2023,2
AU,ZW,2016,1
AU,ZW,2017,1
AU,ZW,2019,1
AU,ZW,2021,1
AU,ZW,2023,1
AT,AF,2023,1
AT,AL,2016,1
AT,AL,2017,1
AT,AL,2019,1
AT,AL,2021,1
AT,AL,2023,1
AT,DZ,2016,1
AT,DZ,2017,1
AT,DZ,2019,1
AT,DZ,2021,1
AT,DZ,2023,1
AT,AR,2016,1
AT,AR,2017,1
AT,AR,2019,1
AT,AR,2021,1
AT,AR,2023,1
AT,AU,2016,1
AT,AU,2017,1
AT,AU,2019,1
AT,AU,2021,1
AT,AU,2023,2
AT,AT,2016,1
AT,AT,2017,1
AT,AT,2019,1
AT,AT,2021,1
AT,AT,2023,1
AT,AZ,2016,1
AT,AZ,2017,1
AT,AZ,2019,1
AT,AZ,2021,1
AT,AZ,2023,1
AT,BY,2017,1
AT,BY,2019,1
AT,BY,2021,1
AT,BY,2023,1
AT,BE,2016,2
AT,BE,2017,2
AT,BE,2019,2
AT,BE,2021,2
AT,BE,2023,2
AT,BIH,2016,1
AT,BIH,2017,1
AT,BIH,2019,1
AT,BIH,2021,1
AT,BIH,2023,1
AT,BRA,2016,1
AT,BRA,2017,1
AT,BRA,2019,1
AT,BRA,2021,2
AT,BRA,2023,2
AT,BG,2016,1
AT,BG,2017,1
AT,BG,2019,1
AT,BG,2021,1
AT,BG,2023,1
AT,CA,2016,1
AT,CA,2017,1
AT,CA,2019,1
AT,CA,2021,1
AT,CA,2023,1
AT,CL,2016,1
AT,CL,2017,1
AT,CL,2019,1
AT,CL,2021,1
AT,CL,2023,1
AT,CN,2016,3
AT,CN,2017,3
AT,CN,2019,4
AT,CN,2021,4
AT,CN,2023,4
AT,CO,2017,1
AT,CO,2019,1
AT,CO,2021,1
AT,CO,2023,1
AT,HR,2016,1
AT,HR,2017,1
AT,HR,2019,1
AT,HR,2021,1
AT,HR,2023,1
AT,CU,2016,1
AT,CU,2017,1
AT,CU,2019,1
AT,CU,2021,1
AT,CU,2023,1
AT,CY,2016,1
AT,CY,2017,1
AT,CY,2019,1
AT,CY,2021,1
AT,CY,2023,1
AT,CZ,2016,1
AT,CZ,2017,1
AT,CZ,2019,1
AT,CZ,2021,1
AT,CZ,2023,1
AT,DK,2016,1
AT,DK,2017,1
AT,DK,2019,1
AT,DK,2021,1
AT,DK,2023,1
AT,EG,2016,1
AT,EG,2017,1
AT,EG,2019,1
AT,EG,2021,1
AT,EG,2023,1
AT,EE,2016,1
AT,EE,2017,1
AT,EE,2019,1
AT,EE,2021,1
AT,EE,2023,1
AT,ET,2016,1
AT,ET,2017,1
AT,ET,2019,1
AT,ET,2021,1
AT,ET,2023,1
AT,FI,2016,1
AT,FI,2017,1
AT,FI,2019,1
AT,FI,2021,1
AT,FI,2023,1
AT,FR,2016,4
AT,FR,2017,4
AT,FR,2019,5
AT,FR,2021,5
AT,FR,2023,4
AT,GE,2017,1
AT,GE,2019,1
AT,GE,2021,1
AT,GE,2023,1
AT,DE,2016,2
AT,DE,2017,2
AT,DE,2019,2
AT,DE,2021,2
AT,DE,2023,2
AT,GR,2016,1
AT,GR,2017,1
AT,GR,2019,1
AT,GR,2021,1
AT,GR,2023,1
AT,VA,2016,1
AT,VA,2017,1
AT,VA,2019,1
AT,VA,2021,1
AT,VA,2023,1
AT,HU,2016,1
AT,HU,2017,1
AT,HU,2019,1
AT,HU,2021,1
AT,HU,2023,1
AT,IN,2016,1
AT,IN,2017,1
AT,IN,2019,1
AT,IN,2021,1
AT,IN,2023,1
AT,ID,2016,1
AT,ID,2017,1
AT,ID,2019,1
AT,ID,2021,1
AT,ID,2023,1
AT,IR,2016,1
AT,IR,2017,1
AT,IR,2019,1
AT,IR,2021,1
AT,IR,2023,1
AT,IQ,2023,1
AT,IE,2016,1
AT,IE,2017,1
AT,IE,2019,1
AT,IE,2021,1
AT,IE,2023,1
AT,IL,2016,1
AT,IL,2017,1
AT,IL,2019,1
AT,IL,2021,1
AT,IL,2023,1
AT,IT,2016,2
AT,IT,2017,2
AT,IT,2019,2
AT,IT,2021,2
AT,IT,2023,2
AT,JP,2016,1
AT,JP,2017,1
AT,JP,2019,1
AT,JP,2021,1
AT,JP,2023,1
AT,JO,2016,1
AT,JO,2017,1
AT,JO,2019,1
AT,JO,2021,1
AT,JO,2023,1
AT,KZ,2016,1
AT,KZ,2017,1
AT,KZ,2019,1
AT,KZ,2021,1
AT,KZ,2023,1
AT,KE,2016,1
AT,KE,2017,1
AT,KE,2019,1
AT,KE,2021,1
AT,KE,2023,1
AT,XK,2016,1
AT,XK,2017,1
AT,XK,2019,1
AT,XK,2021,1
AT,XK,2023,1
AT,KW,2016,1
AT,KW,2017,1
AT,KW,2019,1
AT,KW,2021,1
AT,KW,2023,1
AT,LV,2016,1
AT,LV,2017,1
AT,LB,2016,1
AT,LB,2017,1
AT,LB,2019,1
AT,LB,2021,1
AT,LB,2023,1
AT,LY,2016,1
AT,LY,2017,1
AT,LY,2019,1
AT,LY,2021,1
AT,LY,2023,1
AT,LT,2016,1
AT,LT,2017,1
AT,LU,2016,1
AT,LU,2017,1
AT,LU,2019,1
AT,LU,2021,1
AT,LU,2023,1
AT,MA,2016,1
AT,MA,2017,1
AT,MA,2019,1
AT,MA,2021,1
AT,MA,2023,1
AT,MT,2016,1
AT,MX,2016,1
AT,MX,2017,1
AT,MX,2019,1
AT,MX,2021,1
AT,MX,2023,1
AT,MD,2017,1
AT,MD,2019,1
AT,MD,2021,1
AT,MD,2023,1
AT,ME,2016,1
AT,ME,2017,1
AT,ME,2019,1
AT,ME,2021,1
AT,ME,2023,1
AT,MAR,2016,1
AT,MAR,2017,1
AT,MAR,2019,1
AT,MAR,2021,1
AT,MAR,2023,1
AT,NL,2016,1
AT,NL,2017,1
AT,NL,2019,1
AT,NL,2021,1
AT,NL,2023,1
AT,NG,2016,1
AT,NG,2017,1
AT,NG,2019,1
AT,NG,2021,1
AT,NG,2023,1
AT,MK,2016,1
AT,MK,2017,1
AT,MK,2019,1
AT,MK,2021,1
AT,MK,2023,1
AT,NO,2016,1
AT,NO,2017,1
AT,NO,2019,1
AT,NO,2021,1
AT,NO,2023,1
AT,OM,2023,1
AT,PK,2016,1
AT,PK,2017,1
AT,PK,2019,1
AT,PK,2021,1
AT,PK,2023,1
AT,PE,2016,1
AT,PE,2017,1
AT,PE,2019,1
AT,PE,2021,1
AT,PE,2023,1
AT,PH,2016,1
AT,PH,2017,1
AT,PH,2019,1
AT,PH,2021,1
AT,PH,2023,1
AT,PL,2016,1
AT,PL,2017,1
AT,PL,2019,1
AT,PL,2021,2
AT,PL,2023,2
AT,PT,2016,1
AT,PT,2017,1
AT,PT,2019,1
AT,PT,2021,1
AT,PT,2023,1
AT,QA,2016,1
AT,QA,2017,1
AT,QA,2019,1
AT,QA,2021,1
AT,QA,2023,1
AT,RO,2016,1
AT,RO,2017,1
AT,RO,2019,1
AT,RO,2021,1
AT,RO,2023,1
AT,RU,2016,1
AT,RU,2017,1
AT,RU,2019,1
AT,RU,2021,1
AT,RU,2023,1
AT,SA,2016,1
AT,SA,2017,1
AT,SA,2019,1
AT,SA,2021,1
AT,SA,2023,1
AT,SN,2016,1
AT,SN,2017,1
AT,SN,2019,1
AT,SN,2021,1
AT,SN,2023,1
AT,RS,2016,1
AT,RS,2017,1
AT,RS,2019,1
AT,RS,2021,1
AT,RS,2023,1
AT,SG,2017,1
AT,SG,2019,1
AT,SG,2021,1
AT,SG,2023,1
AT,SVK,2016,1
AT,SVK,2017,1
AT,SVK,2019,1
AT,SVK,2021,1
AT,SVK,2023,1
AT,SI,2016,1
AT,SI,2017,1
AT,SI,2019,1
AT,SI,2021,1
AT,SI,2023,1
AT,ZA,2016,1
AT,ZA,2017,1
AT,ZA,2019,1
AT,ZA,2021,1
AT,ZA,2023,1
AT,SK,2016,1
AT,SK,2017,1
AT,SK,2019,1
AT,SK,2021,1
AT,SK,2023,1
AT,ES,2016,1
AT,ES,2017,1
AT,ES,2019,1
AT,ES,2021,1
AT,ES,2023,1
AT,PS,2016,1
AT,PS,2017,1
AT,PS,2019,1
AT,PS,2021,1
AT,PS,2023,1
AT,SE,2016,1
AT,SE,2017,1
AT,SE,2019,1
AT,SE,2021,1
AT,SE,2023,1
AT,CH,2016,2
AT,CH,2017,2
AT,CH,2019,2
AT,CH,2021,2
AT,CH,2023,2
AT,SY,2016,1
AT,SY,2017,1
AT,TW,2016,1
AT,TW,2017,1
AT,TW,2019,1
AT,TW,2021,1
AT,TW,2023,1
AT,TH,2016,1
AT,TH,2017,1
AT,TH,2019,1
AT,TH,2021,1
AT,TH,2023,1
AT,TN,2016,1
AT,TN,2017,1
AT,TN,2019,1
AT,TN,2021,1
AT,TN,2023,1
AT,TR,2016,2
AT,TR,2017,2
AT,TR,2019,2
AT,TR,2021,2
